acao
^BVSP
PETR4.SA
VALE3.SA
ITUB4.SA
BBDC4.SA
BBDC3.SA
ABEV3.SA
WEGE3.SA
B3SA3.SA
EMBJ3.SA
RENT3.SA
MGLU3.SA
VBBR3.SA
RAIL3.SA
LREN3.SA
PRIO3.SA
SUZB3.SA
JBSS32.SA
RDOR3.SA
GGBR4.SA
KLBN11.SA
MOTV3.SA
CSAN3.SA
VIVT3.SA
AXIA3.SA
CMIG4.SA
ENEV3.SA
TAEE11.SA
BBSE3.SA
HAPV3.SA
BPAC11.SA
SANB11.SA
ITSA4.SA
BBAS3.SA
AZUL54.SA
CYRE3.SA
MRVE3.SA
MULT3.SA
EZTC3.SA
MBRF3.SA
BEEF3.SA
SLCE3.SA
SMTO3.SA
PETZ3.SA
BHIA3.SA
AZZA3.SA
RADL3.SA
PCAR3.SA
FLRY3.SA
QUAL3.SA
LWSA3.SA
MDIA3.SA
RECV3.SA
CVCB3.SA
TOTS3.SA
YDUQ3.SA
COGN3.SA
ANIM3.SA
SEER3.SA
VIVA3.SA
TIMS3.SA
BRAP4.SA
USIM5.SA
CSNA3.SA
GOAU4.SA
GGPS3.SA
ALPA4.SA
KLBN4.SA
CMIN3.SA
RAIZ4.SA
BRKM5.SA
POMO4.SA
EQTL3.SA
ISAE4.SA
SBSP3.SA
SAPR11.SA
CPFE3.SA
NEOE3.SA
AURE3.SA
CEGR3.SA
ECOR3.SA
LIGT3.SA
HYPE3.SA
IRBR3.SA
POSI3.SA
MOVI3.SA
DIRR3.SA
DXCO3.SA
ASAI3.SA
GMAT3.SA
RAPT4.SA
TRAD3.SA
ALOS3.SA
CASH3.SA
SIMH3.SA
BRSR6.SA
SMAL11.SA
HASH11.SA
IVVB11.SA
